id,created_at,updated_at,is_active,icon,parent_id,has_options,type,title,description
01KHPX62GMH0S29P,2024-03-12 20:03:36.836004+00,,true,,01KHPX62GMJ7R3MJ,,standard,"{""az"":""Rus dili kursu"",""en"":"""",""ru"":""""}","{""az"":""Rus dili kursu\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMH1V3W5,2024-03-06 20:13:20.020906+00,,true,,01KHPX62GK92D5C8,,standard,"{""az"":""Alətlər və Aksesuarlar"",""en"":"""",""ru"":""""}","{""az"":""Alətlər və Aksesuarlar"",""en"":"""",""ru"":""""}"
01KHPX62GMH20RW3,2024-03-15 19:47:25.532699+00,,true,,01KHPX62GK8TQ8TV,,standard,"{""az"":""Qatlaşdırılmış süd"",""en"":"""",""ru"":""""}","{""az"":""Qatlaşdırılmış süd\n\n\n\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMH467HS,2024-03-14 20:57:42.407202+00,,true,,01KHPX62GMCFTEV8,,standard,"{""az"":""Hədiyyə dəstləri"",""en"":"""",""ru"":""""}","{""az"":""Hədiyyə dəstləri\n\n\n\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMH4RB4E,2024-03-12 19:56:12.036862+00,,true,,01KHPX62GMJ7R3MJ,,standard,"{""az"":""Xarici dil kursu"",""en"":"""",""ru"":""""}","{""az"":""Xarici dil kursu\n"",""en"":"""",""ru"":""""}"
01KHPX62GMH5GN01,2024-03-15 19:46:45.760251+00,,true,,01KHPX62GK8TQ8TV,,standard,"{""az"":""Kefir"",""en"":"""",""ru"":""""}","{""az"":""Kefir\n\n\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMH8FYDW,2024-03-12 19:55:25.147547+00,,true,,01KHPX62GMJ7R3MJ,,standard,"{""az"":""Tərbiyəçilər"",""en"":"""",""ru"":""""}","{""az"":""Tərbiyəçilər\n"",""en"":"""",""ru"":""""}"
01KHPX62GMH8QVD1,2024-03-12 19:31:23.925298+00,,true,,01KHPX62GK3SDAX9,,standard,"{""az"":""Bədii ədəbiyyat"",""en"":"""",""ru"":""""}","{""az"":""Bədii ədəbiyyat\n"",""en"":"""",""ru"":""""}"
01KHPX62GMHM2NT9,2024-03-18 20:32:20.070331+00,,true,,01KHPX62GKR7B1QW,,standard,"{""az"":""Sırğalar"",""en"":"""",""ru"":""""}","{""az"":""Sırğalar\n"",""en"":"""",""ru"":""""}"
01KHPX62GMHTNKCE,2024-03-08 18:58:05.737086+00,,true,,01KHPX62GK5E67NT,,standard,"{""az"":""Təsadüfi tanışlıq"",""en"":"""",""ru"":""""}","{""az"":""Təsadüfi tanışlıq"",""en"":"""",""ru"":""""}"
01KHPX62GMHWJ75G,2024-03-07 20:09:29.715359+00,,true,,01KHPX62GKNYGMZE,,standard,"{""az"":""Restoranlar və Kafelər"",""en"":"""",""ru"":""""}","{""az"":""Restoranlar və Kafelər"",""en"":"""",""ru"":""""}"
01KHPX62GMHWWENP,2024-03-08 19:12:11.904653+00,,true,,01KHPX62GKX8R996,,standard,"{""az"":""Evin təkmilləşdirilməsi"",""en"":"""",""ru"":""""}","{""az"":""Evin təkmilləşdirilməsi"",""en"":"""",""ru"":""""}"
01KHPX62GMJ5D03J,2024-03-18 20:27:38.540857+00,,true,,01KHPX62GK89CT0T,,standard,"{""az"":""Qolbaq saatları"",""en"":"""",""ru"":""""}","{""az"":""Qolbaq saatları\n\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMJ632WW,2024-03-15 19:20:03.089069+00,,true,,01KHPX62GKJT6T7F,,standard,"{""az"":""Çaylar"",""en"":"""",""ru"":""""}","{""az"":""Çaylar\n\n\n\n"",""en"":"""",""ru"":""""}"
01KHPX62GMJ7R3MJ,2024-03-06 19:14:59.07546+00,,true,,01KHPX62GKS0Q7GH,,standard,"{""az"":""Kurslar"",""en"":"""",""ru"":""""}","{""az"":""Kurslar"",""en"":"""",""ru"":""""}"
01KHPX62GMJAPQGC,2024-03-07 20:09:10.136039+00,,true,,01KHPX62GK7VM447,,standard,"{""az"":""Bakıda və Rayonlarda Biznes Mərkəzləri"",""en"":"""",""ru"":""""}","{""az"":""Bakıda və Rayonlarda Biznes Mərkəzləri"",""en"":"""",""ru"":""""}"
01KHPX62GMJCSCNZ,2024-03-15 19:16:09.63447+00,,true,,01KHPX62GKJT6T7F,,standard,"{""az"":""Ədviyyat məhsulları"",""en"":"""",""ru"":""""}","{""az"":""Ədviyyat məhsulları\n"",""en"":"""",""ru"":""""}"
01KHPX62GMJD211R,2024-02-18 19:22:43+00,2024-02-18 19:22:42+00,true,geyim-ve-aksesuarlar.png,01KHPX62GMJD211R,,standard,"{""az"":""Geyim ve Aksesuarlar"",""en"":"""",""ru"":""""}","{""az"":""Geyim ve Aksesuarlar"",""en"":"""",""ru"":""""}"
01KHPX62GMJFNTRF,2024-03-18 20:31:42.347452+00,,true,,01KHPX62GKR7B1QW,,standard,"{""az"":""Boyunbağılar"",""en"":"""",""ru"":""""}","{""az"":""Boyunbağılar\n\n"",""en"":"""",""ru"":""""}"
